ABIN,آبین
AFRA,افرا
AKHABER,اخابر
AKONTOR,آکنتور
ALBORZ,البرز
AP,آپ
APARDAZ,اپرداز
ARFA,ارفع
ARIYAN,آریان
ARMAN,آرمان
ASIA,آسیا
ASP,آ س پ
AVAN,اوان
AYANDEH,آینده
BAIKA,بایکا
BALAS,بالاس
BAREKAT,برکت
BEALBOR,بالبر
BEDCO,بدكو
BEFAJR,بفجر
BEHPAK,بهپاک
BEJAHROM,بجهرم
BEKAB,بکاب
BEKAHNOJ,بکهنوج
BEKAM,بکام
BEKHAVAR,بخاور
BEMAPNA,بمپنا
BEMILA,بمیلا
BEMOTO,بموتو
BENIROO,بنیرو
BENO,بنو
BEPAS,بپاس
BESAMA,بساما
BESHAHAB,بشهاب
BESWITHC,بسویچ
BETAK,بتک
BETERANS,بترانس
BEZAGROS,بزاگرس
BOURSE,بورس
CABZEVA,سبزوا
CAIRA,سایرا
CAROOJ,ساروج
CEARAB,ساراب
CEARBIL,ساربیل
CEAZARI,ساذری
CEBAGHER,سباقر
CEBAHAN,سبهان
CEBOJNOO,سبجنو
CEDASHT,سدشت
CEDOUR,سدور
CEFANO,سفانو
CEFAR,سفار
CEFAROD,سفارود
CEFARS,سفارس
CEFASI,سفاسی
CEGHARB,سغرب
CEGHAYEN,سقاین
CEHEGMAT,سهگمت
CEHORMOZ,سهرمز
CEILAM,سیلام
CEJAM,سجام
CEKAROON,سکارون
CEKERMA,سکرما
CEKHAF,سخواف
CEKHASH,سخاش
CEKHAZAR,سخزر
CEKHOOZ,سخوز
CEKORD,سکرد
CELAR,سلار
CEMAZAN,سمازن
CEMOTAZ,سمتاز
CENEYR,سنیر
CEOROUM,ساروم
CEPAHA,سپاها
CEPERMI,سپرمی
CEROOD,سرود
CESFAHA,سصفها
CESHARGH,سشرق
CESHOMAL,سشمال
CESOOFI,سصوفی
CETRAN,ستران
CHAFFSET,چافست
CHEBESPA,چبسپا
CHEFIBER,چفیبر
CHEKAPA,چکاپا
CHEKAREM,چکارم
CHEKAREN,چکارن
CHEKAVEH,چکاوه
CHENOPA,چنوپا
CHODAN,چدن
CIDKO,سیدکو
DAMAVAND,دماوند
DANA,دانا
DARAB,داراب
DAROO,دارو
DEABID,دعبید
DEABOR,دابور
DEALBOR,دالبر
DEAMIN,دامین
DEAVE,داوه
DEBALK,دبالک
DEDAM,ددام
DEFARA,دفارا
DEFRA,دفرا
DEGHAZI,دقاضی
DEHAVI,دحاوی
DEHDASHT,دهدشت
DEJABER,دجابر
DEKAPSUL,دکپسول
DEKIMI,دکیمی
DEKOSAR,دکوثر
DELER,دلر
DELOGHMA,دلقما
DEOSVEH,داسوه
DEPARS,دپارس
DERAHAVAR,درهآور
DERAZAK,درازک
DEROOZ,دروز
DESANKO,دسانکو
DESHIMI,دشیمی
DESHIRI,دشیری
DESINA,دسینا
DESOBHA,دسبحا
DESOBHAN,دسبحان
DETEHRAN,دتهران
DETMAD,دتماد
DETOLID,دتولید
DETOZI,دتوزیع
DEY,دی
DEYRAN,دیران
DEZAHRAVI,دزهراوی
ENERGY,انرژی
ETEKAE,اتکای
ETEKAM,اتکام
ETELA,اعتلا
FAJR,فجر
FALAT,فلات
FAMA,فاما
FANAVA,فن آوا
FARABOURSE,فرابورس
FARAK,فاراک
FARAVAR,فرآور
FARS,فارس
FASA,فسا
FAZAR,فاذر
FBASTEM,فبستم
FBIRA,فبیرا
FEAFZA,فافزا
FEAHWAZ,فاهواز
FEALUM,فالوم
FEASMIN,فاسمین
FEBAHONAR,فباهنر
FEIRA,فایرا
FEKHAS,فخاس
FEKHOZ,فخوز
FELOLEH,فلوله
FEMELI,فملی
FEMORAD,فمراد
FENAFT,فنفت
FENAVAL,فنوال
FENAVARD,فنورد
FEOLAD,فولاد
FEOLAJH,فولاژ
FEOLAY,فولای
FEPANTA,فپنتا
FEROOY,فروی
FEROS,فروس
FESADID,فسدید
FESAZAN,فسازان
FESEPA,فسپا
FESORB,فسرب
FEZARIN,فزرین
FJAM,فجام
FJOOSH,فجوش
FLAMI,فلامی
FNERGY,فنرژی
FOKA,فوکا
FSOLIR,فسلیر
GEKISH,گکیش
GEKOSAR,گکوثر
GEPARS,گپارس
GESHAN,گشان
GHALBER,غالبر
GHARN,قرن
GHASEM,قاسم
GHAZVIN,قزوین
GHEAZAR,غاذر
GHEBAHAR,غبهار
GHEBEHNOOSH,غبهنوش
GHEBESHAHR,غبشهر
GHECHAR,قچار
GHECHIN,غچین
GHEDAM,غدام
GHEDASHT,غدشت
GHEDIS,غدیس
GHEFARS,غفارس
GHEGILA,غگیلا
GHEGOL,غگل
GHEGOLESTA,غگلستا
GHEGOLPA,غگلپا
GHEGORJI,غگرجی
GHEHEKMAT,قهکمت
GHEJAM,قجام
GHELOREST,قلرست
GHEMAHRA,غمهرا
GHEMARG,غمارگ
GHEMARV,قمرو
GHEMINOO,غمینو
GHENAGHSH,قنقش
GHENISHA,قنیشا
GHENOOSH,غنوش
GHEOROOM,قاروم
GHEPAK,غپاک
GHEPEAZAR,غپآذر
GHEPINO,غپینو
GHEPIRA,قپیرا
GHEPOUNEH,غپونه
GHESABET,قثابت
GHESALEM,غسالم
GHESFAHA,قصفها
GHESHAHD,غشهد
GHESHAHDAB,غشهداب
GHESHAN,غشان
GHESHAZAR,غشاذر
GHESHERIN,قشرین
GHESHESFA,غشصفا
GHESHIR,قشیر
GHESHOCO,غشوکو
GHESINOO,غصینو
GHEVITA,غویتا
GHEYSTOO,قیستو
GHEYVAN,غیوان
GHSHAHD,قشهد
GHSHEKAR,قشکر
GOHARAN,گوهران
HAFARI,حفاری
HAMRAH,همراه
HEARIA,حاریا
HEASA,حآسا
HEBANDAR,حبندر
HEFARS,حفارس
HEJRAT,هجرت
HEKESHTI,حکشتی
HEKHAZAR,حخزر
HEKMAT,حکمت
